,phone,word
260,a ʁ aj s,"['arais', 'chwarzeiß']"
261,a ʁ b aj tʰ ə t,"['arbeitet', 'earbeitet']"
262,a ʁ d ɪ,"['ardy', 'ardi']"
263,a ʁ f ə s ɛ s,"['eß', 'ß']"
264,a ʁ iː,"['arie', 'arrie']"
265,a ʁ iː k,"['ariq', 'arrique']"
266,a ʁ iː s,"['aris', 'aries']"
267,a ʁ iː t,"['arit', 'arid']"
268,a ʁ iː ʃ,"['arish', 'arrish']"
269,a ʁ k,"['ark', 'arc', 'arg']"
270,a ʁ k s,"['arcs', 'arx', 'arks']"
271,a ʁ kʰ a s,"['arkas', 'arcass']"
272,a ʁ kʰ ɔ,"['arco', 'arko']"
273,a ʁ kʰ ə s,"['arkes', 'arkas']"
274,a ʁ l aw,"['arlowe', 'arleau']"
275,a ʁ l n̩,"['arleen', 'arlon', 'arlen']"
276,a ʁ l s,"['arlowes', 'arls']"
277,a ʁ l ɔ,"['arcello', 'arlow', 'arlo']"
278,a ʁ l ɪ,"['arley', 'arly']"
279,a ʁ n ɪ,"['arney', 'arni']"
280,a ʁ oː l,"['earol', 'arol']"
281,a ʁ p ʃ t ɔ f,"['arbstoffe', 'arbstoff']"
282,a ʁ t,"['arth', 'art', 'ard']"
283,a ʁ t s,"['ards', 'arts']"
284,a ʁ ts,"['chwartz', 'chwarz', 'arz']"
285,a ʁ ts ɐ,"['chwarzer', 'arzer']"
286,a ʁ tʰ a,"['arta', 'artha']"
287,a ʁ tʰ n̩ s,"['artons', 'artens']"
288,a ʁ tʰ oː n,"['arton', 'artoon']"
289,a ʁ tʰ ɔ ɡ ʁ a f iː,"['artografie', 'artographie']"
290,a ʁ tʰ ə,"['arthe', 'arte']"
291,a ʁ v a s,"['zarvas', 'arvas']"
292,a ʁ z oː n,"['earson', 'arson']"
293,a ʁ ɔ n,"['aron', 'arron']"
294,a ʁ ə,"['chwarze', 'arre']"
295,a ʁ ɛ l,"['arrell', 'arewell']"
296,a ʁ ɛ t,"['arett', 'arrett']"
297,a ʁ ɛ ɪ,"['arey', 'arrey']"
298,a ʁ ɡ a ʁ eː tʰ a,"['argareta', 'argaretha']"
299,a ʁ ɡ a ʁ eː tʰ n̩,"['argareten', 'argarethen']"
300,a ʁ ɡ a ʁ eː tʰ ə,"['argarethe', 'argarete']"
301,a ʁ ɪ s,"['aris', 'urris', 'arris']"
302,a ʁ ɪ ʊ s,"['ariusz', 'arius']"
303,a ʁ ʃ a l,"['arshall', 'arshal', 'arschall']"
304,a ʁ ʊ s,"['arus', 'arhus']"
305,a ʃ,"['ouge', 'asch']"
306,aj a,"['aia', 'eia']"
307,aj b a x,"['aibach', 'aybach']"
308,aj b n̩,"['eiben', 'cheiben']"
309,aj b ə,"['eibe', 'cheibe']"
310,aj d a,"['eida', 'aida']"
311,aj d l̩,"['eidl', 'eidel']"
312,aj d ɐ,"['eider', 'aider']"
313,aj d ə,"['eide', 'cheide']"
314,aj f,"['aif', 'eif', 'eigh']"
315,aj k,"['eig', 'eike']"
316,aj k l ɪ ŋ,"['ycling', 'ecycling']"
317,aj l,"['eill', 'ail', 'eil']"
318,aj l a,"['eila', 'aila']"
319,aj l a n t,"['ailand', 'ighland', 'eiland']"
320,aj l a n t s,"['ighlands', 'ailands']"
321,aj l b a x,"['ailbach', 'eilbach']"
322,aj l s,"['eils', 'ails']"
323,aj l t,"['eild', 'eilt']"
324,aj l ɐ,"['eiler', 'ailor', 'eiller']"
325,aj l ə,"['eile', 'aile']"
326,aj l ɪ,"['eili', 'aily', 'eighley']"
327,aj m,"['oym', 'eim']"
328,aj m b a x,"['aimbach', 'eimbach']"
329,aj n f ɛ l t,"['cheinfeld', 'einfeld']"
330,aj n h a ʁ t,"['einhardt', 'einhard', 'einhart']"
331,aj n h a ʁ t s,"['einhardts', 'einhards']"
332,aj n t,"['cheint', 'eind']"
333,aj n ts,"['ainz', 'einz']"
334,aj n ə,"['aine', 'eine']"
