,phone,word
183,a f l,"['affaele', 'affles', 'afael']"
184,a f l y,"['affluent', 'afflux']"
185,a f l y ɑ̃,"['affluent', 'affluents']"
186,a f l y ɛ,"['affluait', 'affluaient']"
187,a f l œ ʁ,"['afleur', 'affleurent', 'affleure']"
188,a f o,"['haffauts', 'afo']"
189,a f ɔ l e,"['affolée', 'saffoler']"
190,a f ɔ l ɛ,"['affolaient', 'saffolait']"
191,a f ɔ̃,"['affon', 'afon', 'affont']"
192,a f ɛ k s j ɔ n,"['affectionnent', 'affectionne']"
193,a f ɛ k s j ɔ̃,"['affections', 'affection']"
194,a f ɛ k t,"['affectent', 'affecte']"
195,a f ɛ k t a s j ɔ̃,"['affectations', 'affectation']"
196,a f ɛ ʁ m i,"['affermie', 'affermit']"
197,a f ɛ̃,"['afin', 'affin']"
198,a f ɡ a n,"['afghans', 'afghane']"
199,a f ʁ i c ɛ n,"['africaines', 'africaine']"
200,a f ʁ i c ɛ̃,"['africain', 'africains']"
201,a f ʁ ø z,"['affreuses', 'affreuse']"
202,a f ʁ ɑ̃ ʃ i,"['saffranchit', 'affranchi', 'affranchis']"
203,a f ʁ ɑ̃ ʃ i ʁ,"['saffranchir', 'affranchir']"
204,a f ʁ ɔ̃,"['affron', 'affront']"
205,a f ʁ ɔ̃ t,"['affronte', 'affrontent']"
206,a f ʁ ɔ̃ t m ɑ̃,"['affrontements', 'affrontement']"
207,a f ʁ ɔ̃ t ɑ̃,"['affrontant', 'affrontent', 'saffrontent']"
208,a f ʁ ɔ̃ t ɛ ʁ,"['saffrontèrent', 'affrontèrent']"
209,a i b,"['ahib', 'aïb']"
210,a i d,"['hahid', 'acid', 'aïd']"
211,a i d a,"['ahssidha', 'aïda']"
212,a i k,"['aych', 'aïque']"
213,a i l,"['aniil', 'ahil']"
214,a i m a n,"['aïmans', 'aïman']"
216,a i s ɛ,"['haïssais', 'aïsset', 'haïs']"
217,a i t i,"['aïti', 'ahiti']"
218,a i ɡ a,"['iiga', 'aïga']"
219,a i ʁ a,"['aïra', 'ahira', 'aghira']"
220,a j a k,"['ayak', 'aillac', 'ayac']"
221,a j a t,"['ayat', 'ayatte']"
222,a j a ɲ i,"['ayanee', 'ayani']"
223,a j c i ŋ,"['iking', 'ikings']"
224,a j i b,"['ayib', 'ayibe']"
225,a j k a,"['ikka', 'ajkaa']"
226,a j k c i,"['eikki', 'ikki', 'ikky']"
227,a j k u,"['haïkus', 'iku']"
228,a j l ɑ̃,"['ighlands', 'ighland']"
229,a j p e,"['ipers', 'iper']"
231,a j t,"['ights', 'ight', 'aillets']"
